id_commune,adm2_pcode,nom_commune,arrondissement,type_prestataire,effectif,latitude,longitude,source
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.525734,-72.356073,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.532465,-72.337891,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.540239,-72.326183,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.532053,-72.315552,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.527116,-72.340625,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.525957,-72.340116,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.533211,-72.328552,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.540208,-72.326157,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.546736,-72.339016,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.525669,-72.354646,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.536926,-72.335892,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.532672,-72.3255,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.525617,-72.355992,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.524924,-72.355162,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.532657,-72.325504,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.53221,-72.341593,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.526529,-72.340394,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.532534,-72.343776,osm_reel
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.528425,-72.339911,bruit_synthetique
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.528008,-72.336504,bruit_synthetique
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.529284,-72.338167,bruit_synthetique
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.52813,-72.334935,bruit_synthetique
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.52626,-72.339126,bruit_synthetique
